State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Total_Power_Parity,Housholds_with_Electric_Lighting,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Higher_Education,Graduate_Education,sex_ratio,literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,5512,4181,566108,8338,96998,143143,100226,100.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,8606,5799,897970,9915,144214,162175,144915,98.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,13763,5926,944555,16296,186568,265199,246409,100.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,22411,7211,1297273,25381,232073,271809,263023,101.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,19383,6981,1186028,17424,190079,246580,221924,100.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,149034,11071,869721,124106,439890,517425,558090,95.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,8831,5251,926768,14175,192965,293493,256633,101.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,8628,3836,668519,11887,115078,154774,160804,101.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,30438,6983,1163932,27969,212111,312753,328454,99.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,10081,5301,816721,10622,118153,152453,115504,99.0,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,6153,4695,757821,12615,121553,169083,98227,98.0,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,8635,3874,604719,14362,119276,201928,127493,99.0,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,7715,4468,789225,18927,143010,238695,196134,98.0,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,5261,3458,545913,10088,102049,223365,141850,104.0,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,6151,4304,763746,9071,105940,142026,133627,98.0,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,3988,3301,615432,5264,64087,146721,121213,101.0,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,4453,3103,527736,5002,61858,115144,103591,102.0,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,12952,4762,828077,15727,139404,279234,248942,100.0,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,12050,5485,1017568,14687,182698,215863,207586,100.0,67.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,170,348,14593,1102,2450,5641,3633,93.0,49.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,57,348,5318,577,1382,4510,2330,103.0,49.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,450,644,14231,2072,4568,9498,6540,98.0,63.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,95,348,3911,605,884,4353,2031,103.0,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,312,348,17157,1203,3884,7612,5180,91.0,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,207,348,5932,703,2128,3570,2795,93.0,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,381,348,12493,2002,2973,7674,5230,98.0,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,2477,644,30539,6454,8668,17342,13840,98.0,69.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,96,348,8635,895,205,1989,1379,71.0,52.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,98,348,16026,679,1369,4305,2134,94.0,43.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,97,348,6198,430,1031,2211,1349,89.0,52.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,139,348,5373,569,1435,8017,4276,100.0,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,202,348,14188,1299,1045,3987,2693,82.0,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,303,348,14204,1964,4023,8418,6030,93.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,2078,348,84804,5560,24913,87377,46947,95.0,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,2523,348,49866,5837,16579,35491,20221,97.0,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,5316,348,140205,8700,22647,79766,45341,96.0,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,1166,348,45444,3533,13662,47398,22267,95.0,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,1192,348,28195,3504,12293,55399,28006,95.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,8817,348,136685,21112,44664,89500,59380,96.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,1364,348,78641,4112,15292,39885,18294,96.0,56.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,3073,348,82345,9295,27300,66197,36887,96.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,1211,348,44143,2583,5589,28504,11608,95.0,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,5651,348,122063,16081,44159,97025,62608,96.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,3109,348,122191,10052,34461,118849,55011,95.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,1923,348,53918,3934,13699,40602,18225,95.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,1933,348,70951,3757,7289,39637,21408,96.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,1218,348,41373,2996,12191,39571,17287,96.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,1948,348,60296,6904,25699,82885,44212,97.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,5121,348,195631,13979,47693,115864,66994,96.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,1631,348,68313,4785,18810,71734,39368,95.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,4358,348,133368,11760,39796,90385,49901,96.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,5135,348,161718,13323,31363,61040,38152,95.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,2561,2035,43290,5041,31983,68177,39627,92.0,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,2362,2215,44456,7145,32335,136783,91371,93.0,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,23258,8119,589477,33322,230188,310762,253253,92.0,68.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,2362,2215,44456,7145,32335,136783,91371,93.0,58.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,23258,8119,589477,33322,230188,310762,253253,92.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1704,1738,62359,3258,24398,63103,35767,91.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,4644,2354,120373,9821,41377,144783,101836,89.0,52.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,6764,2814,174534,8644,47618,154643,118843,88.0,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,3661,2600,62153,7391,43689,163303,131137,91.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,1784,1556,46760,5341,26325,89306,64117,92.0,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,6280,3514,127442,10325,52586,152540,129597,91.0,46.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,6856,3998,112617,11827,59202,191824,131163,94.0,52.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,3707,2370,69375,9508,51902,123249,79109,102.0,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,1839,1516,32633,4842,18411,56137,29633,92.0,49.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,1106,960,27641,2522,13682,68748,45519,92.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,2941,2516,60900,5118,35004,88498,57114,92.0,42.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,1580,1254,40641,3120,14047,65931,38697,89.0,46.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,1093,1347,58718,2436,19539,25989,15386,95.0,44.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,1186,904,44491,2415,9577,48001,27261,90.0,51.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1397,1494,23236,4560,21254,79891,44955,91.0,42.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,5319,3520,113281,11636,59254,170563,137780,93.0,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,2653,1424,90461,3755,24259,101907,64469,88.0,59.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,10290,4105,180651,23333,94249,194920,138916,90.0,52.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,4156,2578,101378,7955,29239,177358,133032,92.0,53.0
